"","No","SiteID","LON","LAT","BP","Age","GPP","BPE","reference","Forest_type","PFT","species","Tg","g_vpd","soilCN","f","lnvpd","lnCN","lnf","lnage","f_incoparate","lnf_incoparate"
"458",458,214,-121.6239,44.4982,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.58089202691206,594.951769970701,14.0454500000001,0.83013698630137,6.38848034338741,2.64229849991479,-0.186164548073122,NA,0.835616438356164,-0.17958557697508
"459",459,215,-121.6239,44.4982,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.58089202691206,594.951769970701,14.0454500000001,0.83013698630137,6.38848034338741,2.64229849991479,-0.186164548073122,NA,0.835616438356164,-0.17958557697508
"460",460,216,-121.6238,44.5003,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.571033233943,594.690571630858,14.0439,0.83013698630137,6.3880412225947,2.64218813780234,-0.186164548073122,NA,0.835616438356164,-0.17958557697508
"461",461,217,-121.623611,44.498889,413,NA,1190,0.347058823529412,"Peng 2023, Journal of Ecology","evergreen","Forest","Metolius Old Pine",9.57399039296238,594.93933399366,14.0409705,0.83013698630137,6.38845944067287,2.64197952014034,-0.186164548073122,NA,0.835616438356164,-0.17958557697508
"462",462,218,-121.623611,44.498889,363,NA,1120,0.324107142857143,"Peng 2023, Journal of Ecology","evergreen","Forest","Metolius Old Pine",9.57399039296238,594.93933399366,14.0409705,0.83013698630137,6.38845944067287,2.64197952014034,-0.186164548073122,NA,0.835616438356164,-0.17958557697508
"463",463,219,-121.623611,44.498889,400,NA,1257.5,0.318091451292247,"Peng 2023, Journal of Ecology","evergreen","Forest","Metolius Old Pine",9.57399039296238,594.93933399366,14.0409705,0.83013698630137,6.38845944067287,2.64197952014034,-0.186164548073122,NA,0.835616438356164,-0.17958557697508
"464",464,220,-121.62,44.5,409,190,1191,0.343408900083963,"Peng 2023, Journal of Ecology","evergreen","Forest","Pinus ponderosa Laws",9.51803189873702,595.823403930662,13.9850000000001,0.83013698630137,6.38994432102944,2.63798532665393,-0.186164548073122,5.24702407216049,0.835616438356164,-0.17958557697508
"465",465,221,-121.6104,44.4327,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.43226097186652,589.507890062012,13.8362,0.83013698630137,6.37928810421697,2.62728834601526,-0.186164548073122,NA,0.835616438356164,-0.17958557697508
"466",466,222,-121.61,44.42,214,316,849,0.25206124852768,"Peng 2023, Journal of Ecology","evergreen","Forest","Pinus ponderosa Laws",9.45476625734566,588.38990661621,13.83,0.83013698630137,6.37738983463081,2.62684014567667,-0.186164548073122,5.75574221358691,0.835616438356164,-0.17958557697508
"467",467,223,-121.61,44.43,149,16,666,0.223723723723724,"Peng 2023, Journal of Ecology","evergreen","Forest","Pinus ponderosa Laws",9.42869911813738,588.747308959962,13.83,0.83013698630137,6.37799707455154,2.62684014567667,-0.186164548073122,2.77258872223978,0.835616438356164,-0.17958557697508
"468",468,224,-121.6095,44.4312,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.42662448615742,589.120982854004,13.82225,0.83013698630137,6.37863156638594,2.62627961261314,-0.186164548073122,NA,0.835616438356164,-0.17958557697508
"469",469,225,-121.6066,44.4222,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.43259492087023,588.094848835937,13.7773,0.83013698630137,6.37688824243408,2.62302231024819,-0.186164548073122,NA,0.835616438356164,-0.17958557697508
"470",470,226,-121.6054,44.3233,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.46534423734057,589.063431775386,13.7587,0.915068493150685,6.37853387186894,2.62167135129781,-0.0887563606057911,NA,0.912328767123288,-0.0917548636020477
"471",471,227,-121.5953,44.4965,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.17594699271621,603.30380960083,13.6021499999999,0.83013698630137,6.40242090003117,2.61022786848267,-0.186164548073122,NA,0.838356164383562,-0.176312251630111
"472",472,228,-121.59,44.43,355,69,913,0.388828039430449,"Peng 2023, Journal of Ecology","evergreen","Forest","Pinus ponderosa Laws",9.32857810831074,589.644469604493,13.5200000000001,0.83013698630137,6.37951976137641,2.60417007061482,-0.186164548073122,4.23410650459726,0.838356164383562,-0.176312251630111
"473",473,229,-121.59,44.44,371,56,956,0.388075313807531,"Peng 2023, Journal of Ecology","evergreen","Forest","Pinus ponderosa Laws",9.28435710835465,593.51655090332,13.5200000000001,0.83013698630137,6.38606510060835,2.60417007061482,-0.186164548073122,4.02535169073515,0.838356164383562,-0.176312251630111
"474",474,230,-121.5852,44.4277,NA,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,9.3174255986087,588.915705620607,13.4456,0.83013698630137,6.37828305901349,2.59865191498022,-0.186164548073122,NA,0.838356164383562,-0.176312251630111
"475",475,231,-121.58,47.32,868,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,6.97603640714287,421.290576171877,13.641880173111,0.753424657534247,6.04332280028447,2.61314448551934,-0.28312625591592,NA,0.764383561643836,-0.268685571761126
"476",476,232,-121.58,47.32,797,NA,NA,NA,"Peng 2023, Journal of Ecology",NA,"Forest",NA,6.97603640714287,421.290576171877,13.641880173111,0.753424657534247,6.04332280028447,2.61314448551934,-0.28312625591592,NA,0.764383561643836,-0.268685571761126
