"","X","No","SiteID","LON","LAT","BP","Age","GPP","BPE","reference","Forest_type","PFT","species","Tg","g_vpd","soilCN","f","lnvpd","lnCN","lnf","lnage","f_incoparate","lnf_incoparate","Elevation","pH","sand","logitBPE","vpd_12","lnvpd_12","g_ppfd","lng_ppfd","MAT","MTCO"
"1",1,1,1,89.23,60.45,NA,200,594,0.36026936026936,"Collalti 2020, Nature","evergreen","Forest","Scots pine",12.4096696853638,650.400646972656,14.7699998855591,0.419178082191781,6.47758855296351,2.69259808879509,-0.869459432190056,5.29831736654804,0.441095890410959,-0.818492988598028,0.09,5.1,36.1272767597561,-0.574195237698581,333.129277038574,5.80853063397787,32.3751291656494,3.47739050968431,-1.99791801422836,-22.3974422454834
"2",2,2,2,-98.2,55.53,252,150,863,0.292004634994206,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.820186937352,582.943133544922,17.477200378418,0.504109589041096,6.36808964050372,2.86089719598244,-0.684961595973506,5.01063529409626,0.526027397260274,-0.64240198155471,0.26,5.1,10.6971752296498,-0.885667871660173,337.469938659668,5.82147643570754,30.6978697458903,3.42419326280092,-1.57787983243665,-22.2478969573975
"3",3,3,3,-98.2,55.53,417,53,1160,0.35948275862069,"Collalti 2020, Nature","deciduous","Forest","Populus tremuloides",10.820186937352,582.943133544922,17.477200378418,0.504109589041096,6.36808964050372,2.86089719598244,-0.684961595973506,3.97029191355212,0.526027397260274,-0.64240198155471,0.26,5.1,10.6971752296498,-0.577609822918956,337.469938659668,5.82147643570754,30.6978697458903,3.42419326280092,-1.57787983243665,-22.2478969573975
"4",4,4,4,-98.2,55.53,237,150,1080,0.219444444444444,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.820186937352,582.943133544922,17.477200378418,0.504109589041096,6.36808964050372,2.86089719598244,-0.684961595973506,5.01063529409626,0.526027397260274,-0.64240198155471,0.26,5.1,10.6971752296498,-1.26890681686673,337.469938659668,5.82147643570754,30.6978697458903,3.42419326280092,-1.57787983243665,-22.2478969573975
"5",5,5,5,-98.2,55.53,228,63,880,0.259090909090909,"Collalti 2020, Nature","evergreen","Forest","Pinus banksiana",10.820186937352,582.943133544922,17.477200378418,0.504109589041096,6.36808964050372,2.86089719598244,-0.684961595973506,4.14313472639153,0.526027397260274,-0.64240198155471,0.26,5.1,10.6971752296498,-1.05069893297221,337.469938659668,5.82147643570754,30.6978697458903,3.42419326280092,-1.57787983243665,-22.2478969573975
"6",6,6,6,-98.96,55.91,220,154,723,0.304287690179806,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.2118589817484,556.658681030273,17.5330803009033,0.504109589041096,6.3219522711852,2.864089399464,-0.684961595973506,5.03695260241363,0.526027397260274,-0.64240198155471,0.244,5.5,19.9795829812987,-0.826962623747379,322.09076965332,5.77483339915324,30.5802997461955,3.42035600248674,-2.02838487451276,-22.4089264678955
"7",7,7,7,-98.96,55.91,343,74,634,0.541009463722397,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.2118589817484,556.658681030273,17.5330803009033,0.504109589041096,6.3219522711852,2.864089399464,-0.684961595973506,4.30406509320417,0.526027397260274,-0.64240198155471,0.244,5.5,19.9795829812987,0.164407179994446,322.09076965332,5.77483339915324,30.5802997461955,3.42035600248674,-2.02838487451276,-22.4089264678955
"8",8,8,8,-98.96,55.91,254,40,646,0.393188854489164,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.2118589817484,556.658681030273,17.5330803009033,0.504109589041096,6.3219522711852,2.864089399464,-0.684961595973506,3.68887945411394,0.526027397260274,-0.64240198155471,0.244,5.5,19.9795829812987,-0.433927572771926,322.09076965332,5.77483339915324,30.5802997461955,3.42035600248674,-2.02838487451276,-22.4089264678955
"9",9,9,9,-98.96,55.91,340,23,710,0.47887323943662,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.2118589817484,556.658681030273,17.5330803009033,0.504109589041096,6.3219522711852,2.864089399464,-0.684961595973506,3.13549421592915,0.526027397260274,-0.64240198155471,0.244,5.5,19.9795829812987,-0.0845573880280619,322.09076965332,5.77483339915324,30.5802997461955,3.42035600248674,-2.02838487451276,-22.4089264678955
"10",10,10,10,-98.96,55.91,215,15,450,0.477777777777778,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.2118589817484,556.658681030273,17.5330803009033,0.504109589041096,6.3219522711852,2.864089399464,-0.684961595973506,2.70805020110221,0.526027397260274,-0.64240198155471,0.244,5.5,19.9795829812987,-0.0889474860164951,322.09076965332,5.77483339915324,30.5802997461955,3.42035600248674,-2.02838487451276,-22.4089264678955
"11",11,11,11,-98.96,55.91,222.72,151,696,0.32,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.2118589817484,556.658681030273,17.5330803009033,0.504109589041096,6.3219522711852,2.864089399464,-0.684961595973506,5.01727983681492,0.526027397260274,-0.64240198155471,0.244,5.5,19.9795829812987,-0.75377180237638,322.09076965332,5.77483339915324,30.5802997461955,3.42035600248674,-2.02838487451276,-22.4089264678955
"12",12,12,12,-98.2,55.33,244.53,159,741,0.33,"Collalti 2020, Nature","evergreen","Forest","Picea mariana",10.9949716190497,591.029101562499,17.2792006530762,0.504109589041096,6.38186525741629,2.84950350380342,-0.684961595973506,5.06890420222023,0.526027397260274,-0.64240198155471,0.26,5.1,11.3930167650048,-0.708185057924486,342.933845520019,5.83753755836006,30.8398710807164,3.42880836842428,-1.34328131775062,-21.9620021820068
